la_code,la_name,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
00-PR,Casnewydd - Newport,84,0,86,0,1,9,16,24,45.7,0.1,300,5.5,10.4,82,300,1.4,4.2,0,20,0.8,1.1,7.5,14,1337,4840,8741,11035,25182,5,137,86.1,106.3,170,1263
00-PT,Caerdydd - Cardiff,94,2,96,0,0,2,4,40,48.6,0,300,5.3,9.9,80.5,300,3,4.3,0,20,0.8,1,7.3,12.5,3221,11864,17322,21770,65470,16,138.3,85.6,101.9,168.5,530
00-QA,Aberdeen City,89,0,92,0,1,2,11,15,22.6,0,80,6,11.8,52.7,0,1.1,3.4,0,20,0.9,1.2,11.3,0,1999,7935,19014,35942,23496,0,126.6,75,98.1,197.6,0
00-QB,Aberdeenshire,69,0,82,5,10,18,31,12.7,19.2,0.1,80,5.7,11,50.5,0,1.1,3,0,20,0.7,1.1,10.9,0,5357,11288,26935,33798,20246,0,106.8,66.5,85.1,183,0
00-QC,Angus,73,0,80,2,5,13,27,15,24.6,0.1,300,5.8,11.8,66.9,300,1.1,2.9,0,20,0.8,1.1,9.4,15,1612,4342,10449,17165,10155,2,121.6,75.4,106.6,168.9,413
00-QD,Argyll and Bute,54,0,61,4,8,27,46,8.1,14.6,0.2,80,6.1,9.6,51.2,0,1,2.2,0,20,0.6,1,10.7,0,2119,5044,16216,9991,4546,0,82.4,57.5,70.6,166.2,0
00-QE,Scottish Borders,69,0,79,4,8,18,30,13.3,19.6,0.2,80,6,11.3,51.5,0,1.1,3,0,20,0.7,1.1,10.8,0,2090,4334,12948,15851,9157,0,91.7,55.6,73.7,156.3,0
00-QF,Clackmannanshire,87,0,92,0,1,3,13,14.9,21.2,0.2,80,5,11,50.5,0,1,3.1,0,20,0.8,1.1,10.7,0,911,2780,3339,6496,4683,0,133.9,78.1,104.4,213.8,0
00-QG,West Dunbartonshire,96,0,97,0,0,1,4,50,60,0.2,300,6.2,12.1,98.2,300,3,4.3,0,20,0.9,1,7,14.3,448,1655,4693,8784,19432,14,123.7,90.9,110.8,137.7,638.9
00-QH,Dumfries and Galloway,70,0,81,3,8,18,30,12.4,18.5,0.1,80,5.7,10.9,50.1,0,1.1,2.8,0,20,0.7,1.1,10.3,0,3099,6868,16044,19635,10931,0,97.6,58.7,81.1,162.1,0
00-QJ,Dundee City,97,0,98,0,0,0,3,40,54.9,0.1,300,6,13.2,90.3,300,3,4.3,0.1,20,0.9,1.1,7.2,13.3,628,2575,6844,16339,31014,12,136.4,88.4,115.4,157.4,490.2
00-QK,East Ayrshire,86,0,90,1,3,5,14,13.6,21,0.1,200,5.1,10.5,52.6,0,1,3.1,0.1,20,0.8,1.1,10.4,0,2036,6910,8545,13499,10269,0,127.1,75.1,100.9,200.4,0
00-QL,East Dunbartonshire,89,0,91,0,1,3,11,21.6,51.4,0.2,300,5.8,11.7,97.7,300,1.3,4,0.1,20,0.8,1.1,7.4,15,809,2981,6379,11261,18344,3,110.4,76.1,94.2,130.5,682.9
00-QM,East Lothian,76,0,81,1,3,7,24,14.5,19.6,0.1,80,6,12.3,51.4,0,1.1,2.6,0,20,0.8,1.1,11,0,1036,3312,8413,17694,6995,0,117.2,74.5,97.3,192,0
00-QN,East Renfrewshire,88,0,90,0,1,3,12,20.7,48.4,0.1,300,6.3,11.9,92.7,300,1.2,4,0,20,0.9,1.1,7.7,15,461,1841,5996,9704,14799,3,116.6,79.1,96.5,142,223.5
00-QP,City of Edinburgh,89,0,90,0,1,3,10,24.5,47.2,0.2,300,6.3,13.2,81.4,300,1.4,3.6,0,20,0.8,1,6.4,15,2023,8766,25290,65345,100710,6,116.6,78,94.5,131.4,103.7
00-QQ,Falkirk,90,0,92,0,1,3,10,27.4,53.9,0.1,300,5.8,11.1,97.1,300,2,4.1,0.1,20,0.9,1.1,7.2,13.9,1056,4635,10524,14133,30030,9,123.9,88.4,103.5,146.1,377
00-QR,Fife,88,0,92,0,2,3,12,18.5,33.2,0,300,5.7,12,73.1,300,1.2,3.5,0,20,0.8,1.1,8.5,13.1,3691,12988,25423,48299,47736,8,128.6,74.8,99.9,181.7,329.4
00-QS,Glasgow City,89,2,91,0,1,2,10,18.1,36.3,0.1,300,6,12.1,80.2,300,1.1,3.3,0,20,0.8,1,8,13.8,4564,16211,41560,80333,78325,24,136,92.7,114.4,176.1,322.4
00-QT,Highland,64,0,78,5,10,23,36,8.1,17.4,0.1,80,5.6,9.7,50.9,0,1.1,2.9,0,49.8,0.7,1.1,10.8,0,6132,13456,30535,25073,17513,0,92.3,57,71.9,173,0
00-QU,Inverclyde,87,0,89,0,1,2,13,30,51.9,0.2,300,5.8,12.7,90.6,300,2,4,0.1,20,0.8,1.1,7,15,470,1774,3697,8392,14479,3,121.7,83.8,100.6,146,232.8
00-QW,Midlothian,76,0,81,2,6,10,24,11.1,18.1,0.1,80,4.7,9.6,50.1,0,1,2.7,0,20,0.8,1,10.8,0,2401,5955,6402,9685,6486,0,121.9,76.4,100,198.9,0
00-QX,Moray,76,0,88,3,6,11,24,14.2,20.1,0.2,80,5.4,11.4,50.8,0,1.1,3,0,20,0.8,1.1,10.9,0,1632,4545,7957,12935,7687,0,107.3,63,80.4,192.9,0
00-QY,North Ayrshire,81,0,86,0,1,5,19,14.7,25.2,0.1,300,6.1,12,70.9,300,1.1,2.8,0,20,0.8,1.1,9.5,12.5,1239,4706,12254,21185,11354,4,136.3,82.7,119.9,193,5.1
00-QZ,North Lanarkshire,93,0,95,0,1,3,7,23.6,49.9,0.1,300,5.1,10.5,91.4,300,1.4,4.2,0,20,0.8,1,7.7,15,4207,12506,17676,27667,58761,4,135.2,87.8,108,165.4,760.3
00-RA,Orkney Islands,47,0,60,11,20,37,53,8.1,13.5,0.2,80,5.5,9.7,51.9,0,1,1.8,0.1,20,0.6,1,10.8,0,772,1244,3050,2882,777,0,75,50.6,65.5,170.6,0
00-RB,Perth and Kinross,67,0,74,3,7,17,33,16.5,30.2,0.1,300,5.7,11.6,77.6,300,1.2,3.2,0.1,20,0.7,1.1,8.3,14.3,2681,5727,13530,20362,16530,7,97.8,58.9,80.3,142.6,568
00-RC,Renfrewshire,88,0,89,0,1,4,12,20,47.3,0.2,300,5.9,11.6,93.6,300,1.2,3.8,0.1,20,0.8,1,7.4,14.4,1310,5034,11859,19470,29017,9,120.8,83.2,103.8,144.8,288.5
00-RD,Shetland Islands,54,0,67,5,12,35,46,8.1,15.7,0.2,80,6,8.8,53,0,1.1,2.7,0.1,20,0.7,1,11.2,0,695,1222,4264,1953,1488,0,81.7,60.8,67.8,155.5,0
00-RE,South Ayrshire,82,0,87,1,4,10,18,14.3,23.9,0.1,200,5.8,11.1,61.3,0,1.1,3.2,0,20,0.8,1.1,9.9,0,1451,4805,11311,14156,10832,0,110.4,72.4,93,159.5,0
00-RF,South Lanarkshire,89,0,93,1,2,5,11,20.2,44.4,0.1,300,5.4,10.8,87,300,1.2,4,0.1,20,0.8,1.1,7.8,14.5,4150,11845,19861,30353,52178,10,123.8,78.1,96.6,159.2,423.1
00-RG,Stirling,76,0,83,2,4,10,24,13.8,20.2,0.1,80,5.8,11,50,0,1.1,3.1,0.1,20,0.8,1.1,10.4,0,1355,3784,8971,11412,7863,0,116.5,68.3,90.3,193.1,0
00-RH,West Lothian,81,0,84,1,2,5,19,16.8,34.5,0.1,300,5.6,11.2,81.9,300,1.1,3.4,0.1,20,0.8,1.1,8.3,15,1731,7443,12959,21423,21429,2,147,88.9,118.2,205.3,85.9
00-RJ,Na H-Eileanan an Iar,39,0,53,7,18,39,61,8.1,14.5,0.2,80,5.5,8.7,49.9,0,1,2.6,0.1,20,0.6,1.1,10.4,0,812,1580,3439,2030,1281,0,77.5,52.2,65.8,147.5,0
11-00,Buckinghamshire County,86,2,93,1,2,5,13,19.8,35.9,0.1,1000,5.5,11.1,65.3,360.2,1.2,4.1,0,20,0.8,1.2,9.5,13.9,6004,19966,33486,51957,75232,1837,132.3,83,105.2,170.4,441
12-00,Cambridgeshire County,89,3,97,1,2,3,8,22.4,39,0.1,300,5.4,11.7,70.8,300,1.3,4.2,0,20,0.8,1.2,8,12.5,7217,19622,33263,62825,104845,33,128,73,102.9,156,123.3
16-00,Cumbria County,84,0,92,2,5,9,16,13.9,22.5,0.1,1000,5.2,10.4,54.3,1000,1.1,3.3,0,20,0.8,1.1,10.6,0,11228,25672,40636,56361,48221,101,111.4,64.5,88.3,171.5,0
17-00,Derbyshire County,86,0,94,1,3,5,14,15.8,26.9,0,300,5.3,10.9,62.5,300,1.1,3.3,0,20,0.8,1.1,9.3,13.9,10564,35572,52442,86169,81970,123,116.7,66.9,88.7,176.3,276.9
18-00,Devon County,76,2,88,3,6,12,22,14.8,26.1,0.1,330,5.3,10.9,63.8,300,1.1,3,0,20,0.8,1.1,9,12.9,15167,38521,63642,96404,77881,1347,101.4,60.3,82.5,151.6,317.7
19-00,Dorset County,85,0,94,2,4,6,15,15.4,23.8,0,300,5.4,11.1,56,300,1.1,3.3,0,20,0.8,1.2,10,12.5,6880,19324,32447,52857,44184,2,104.5,62.4,85.1,149.8,30.6
21-00,East Sussex County,90,0,98,1,2,4,10,15.8,23.3,0,80,5.7,11.5,51.5,0,1.1,3.8,0,20,0.8,1.2,11.2,0,6444,20711,40279,68328,57274,0,132.9,80,106.3,190.9,0
22-00,Essex County,83,1,88,1,3,6,16,17.7,33.1,0,1000,5.4,11,71.4,953.8,1.1,3.7,0,20,0.8,1.1,8.8,14.6,19414,58415,96363,155653,186558,182,138.3,87.9,115,178,402.9
23-00,Gloucestershire County,80,4,89,1,3,6,16,17,36.1,0.1,1000,5.2,10.4,76.3,908.6,1.1,3.5,0,20,0.8,1.1,8.3,12.8,10201,29750,43124,64203,84228,490,95.5,61.8,78.3,127.2,154.9
24-00,Hampshire County,87,1,92,1,3,6,13,20.4,40.8,0,300,5.5,11.1,77.1,300,1.2,4.1,0,28.4,0.8,1.1,8.3,14.1,14818,47761,83421,132117,216432,1785,119.3,72.8,91,154.5,462.2
26-00,Hertfordshire County,90,0,93,0,1,3,10,30,47.7,0.1,300,5.4,11.3,81.5,300,2,4.4,0,20,0.8,1.1,7.7,13.8,10302,34918,59607,96405,216831,43,134.6,91.1,111.2,156.6,469.1
29-00,Kent County,89,0,95,1,2,5,11,18,33.6,0,1000,5.4,11.1,69,506.2,1.1,3.9,0,33.8,0.8,1.2,9.3,13.7,18865,56651,94692,157118,190590,1368,140.1,87.2,116.3,179.2,360.9
30-00,Lancashire County,91,1,96,1,2,3,9,18.5,38,0,1000,5.5,11.4,70.3,997.5,1.2,3.6,0,20,0.8,1.1,8.4,14.3,12612,40729,71957,126135,151756,1928,127.3,75,102.6,168.5,290.1
31-00,Leicestershire County,93,0,97,1,2,3,7,21.1,40.6,0.1,1000,5.4,11.5,76.2,904.7,1.2,4,0,20,0.8,1.1,8.1,13.9,6705,22748,36441,66787,104223,169,124.1,74.3,100.4,153.4,526.8
32-00,Lincolnshire County,86,0,96,2,4,7,14,18.3,31.6,0,1000,5.2,11,66.3,792.6,1.2,3.8,0,20,0.8,1.1,8.8,14.1,11717,29878,46454,75554,96333,54,117.4,65.8,89.8,161,408.8
33-00,Norfolk County,83,0,91,2,4,9,17,16.5,28.7,0,300,5.3,11,65.1,300,1.1,3.5,0,34.8,0.8,1.2,9,15,14213,39699,63387,99864,104297,217,116.2,68.7,93.4,158.8,311.6
34-00,Northamptonshire County,87,3,92,1,2,4,10,20.2,44.2,0.1,1000,5.5,11.2,77.1,617.4,1.2,4,0,20,0.8,1.1,8.3,15,7936,24115,43505,72930,112814,2177,138.7,85.2,112.5,172.5,287.8
36-00,North Yorkshire County,82,2,95,3,6,9,16,17.4,28.4,0.1,1000,5.3,11.4,60.3,793.3,1.1,3.7,0,20,0.8,1.1,9.9,13.6,10101,23689,40918,70596,71658,254,103.7,55.6,81,147.4,144.7
37-00,Nottinghamshire County,94,0,97,1,2,3,6,30,45.5,0.1,300,5.3,11,79.9,300,2,4.1,0,20,0.8,1.1,7.3,13.3,8593,26291,39370,66763,141396,24,118.3,66.5,87.5,149.7,118.3
38-00,Oxfordshire County,87,5,96,0,1,3,8,20.6,49.7,0.1,1000,5.6,11.4,69.4,935,1.2,4.3,0,20,0.8,1.2,9,12.8,6318,22628,39895,65710,103484,3607,129,76.9,100.4,165,386.4
40-00,Somerset County,79,0,89,2,5,9,20,13.8,22.2,0.1,300,5.3,10.6,54.5,300,1.1,3,0,20,0.8,1.1,10.5,11.7,9017,29613,46316,65501,50313,442,109.4,67.8,88.3,168.7,21.5
41-00,Staffordshire County,90,0,96,1,2,4,10,17.7,33.2,0,300,5.4,10.5,70.2,300,1.1,3.7,0,20,0.8,1.1,8.6,14.3,11567,33072,56675,79404,110124,121,125.5,73.6,97.2,170.3,539.5
42-00,Suffolk County,83,1,92,2,4,8,16,17,28,0,300,5.2,10.8,61,300,1.1,3.7,0,20,0.8,1.2,9.4,15,13322,33110,51857,78600,91705,56,124,71.3,99.5,166.8,18.4
43-00,Surrey County,91,3,98,0,1,1,6,29.9,44,0,300,5.6,11.5,76.5,300,2,4.7,0,20,0.8,1.3,8.6,14.2,8850,33862,63165,104506,210398,51,126.6,72.1,94.5,157.8,423.9
44-00,Warwickshire County,88,0,93,1,3,6,12,20,37.6,0,300,5.2,10.7,73.5,300,1.2,4,0,20,0.8,1.1,8.5,14.2,7614,23859,32204,50975,86293,6,126.6,76.4,99,161.5,317.2
45-00,West Sussex County,92,1,99,1,1,3,7,19.8,34.3,0,300,5.7,11.6,66.7,300,1.2,4.1,0,20,0.8,1.2,9.1,14.3,8219,26016,53922,91323,124135,189,128.5,78.2,102.7,163.5,489.4
47-00,Worcestershire County,88,1,94,1,3,6,11,16.5,30.9,0.1,300,5.2,9.9,66.1,300,1.1,3.8,0,20,0.8,1.1,9.2,15,8390,29234,41322,50425,75442,261,123,76.1,93.6,170.2,424.4
95-AJ,Derry And Strabane,87,0,98,3,5,7,13,22,34.5,0,300,5.1,10.6,62.8,300,1.2,4.3,0,20,0.8,1.1,8.9,15,2242,4089,6833,10547,20051,1,133.8,73,95.3,177.6,769
95-BCDE,Causeway Coast And Glens,79,0,96,4,7,12,21,19.2,27.5,0,90.1,5.1,10.8,52.7,0,1.2,4.6,0,20,0.7,1.2,10.7,0,2791,4062,7436,11864,17421,0,114.9,63.6,84.7,154.4,0
95-FGV,Mid And East Antrim,78,0,92,4,6,9,22,17.4,25,0,80,5,10.7,52.4,0,1.1,3.8,0,20,0.8,1.1,10.9,0,2652,5555,7749,12715,15052,0,121.5,69.2,88.5,181.4,0
95-HIM,Mid Ulster,66,0,95,7,12,18,34,17.5,25,0,80,4.6,10.2,51.8,0,1.2,4.1,0,20,0.7,1.2,10.5,0,3579,4936,6675,10489,14222,0,118,64.7,90.3,162.4,0
95-LK,Fermanagh And Omagh,60,0,92,12,18,25,40,14.3,23.3,0.2,80,4.5,9.2,51.9,0,1.1,3.9,0.1,20,0.7,1.1,10.4,0,3632,4440,6320,7526,10830,0,100.1,57.8,76.4,144.1,0
95-OQN,Armagh Banbridge And Craigavon,79,0,97,3,6,9,20,16.5,24.7,0,80,4.9,10.5,52.5,0,1.1,3.8,0,20,0.8,1.1,10.7,0,4216,7646,10803,18235,20933,0,130,73.8,94.5,189.8,0
95-PR,Newry Mourne And Down,72,1,96,6,10,14,27,18.1,25.2,0.1,80,4.6,10.9,52.2,0,1.1,3.9,0,20,0.7,1.1,10.7,0,4357,6199,7873,15917,18115,0,125.6,68.9,96.9,174.6,0
95-SY,Lisburn And Castlereagh,87,0,98,1,3,6,12,24,36.7,0.1,300,4.9,9.5,66.4,300,1.3,4.9,0.1,20,0.8,1.2,9.5,15,2413,5824,7429,8828,22394,4,125.4,72.4,89.3,163.6,438
95-TU,Antrim And Newtownabbey,88,0,99,2,4,5,11,21,37.9,0.1,300,5,10.7,72.3,300,1.2,4.3,0.1,20,0.8,1.1,8.9,13.8,2103,5014,7048,11784,20559,4,129,74.7,94.7,171.4,471.7
95-WX,North Down And Ards,89,0,99,1,2,4,11,20.9,29.7,0,300,5.3,11,54.6,300,1.2,4.6,0,20,0.8,1.2,10.6,10,1988,6057,8799,14341,23400,3,125.3,68,87.6,173.5,531.5
95-Z,Belfast,97,0,98,0,0,1,3,41.2,52.8,0,300,5.7,11.9,81.6,300,3,4.5,0,20,0.9,1.1,7.1,12.7,2156,6883,13845,27352,71196,13,132.7,76.2,95,161.7,257.9
